,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
7671,7672,Pune,Pune(Khadiki),Onion,Local,FAQ,1100,1500,1300,2021-05-27
2399,2400,Pune,Junnar(Alephata),Onion,Other,FAQ,550,2110,1110,2021-05-28
9799,9800,Pune,Pune(Moshi),Onion,Local,FAQ,400,1000,700,2021-05-29
9320,9321,Pune,Pune(Manjri),Onion,Local,FAQ,800,1300,1100,2021-05-30
6896,6897,Pune,Pune(Khadiki),Onion,Local,FAQ,1100,1400,1250,2021-05-31
266,267,Pune,Junnar(Alephata),Onion,Other,FAQ,225,1250,525,2022-05-01
8242,8243,Pune,Pune(Manjri),Onion,Local,FAQ,600,1300,800,2022-05-02
10127,10128,Pune,Pune(Pimpri),Onion,Local,FAQ,1200,1200,1200,2022-05-03
3556,3557,Pune,Pune,Onion,Local,FAQ,300,1200,750,2022-05-04
7705,7706,Pune,Pune(Manjri),Onion,Local,FAQ,700,1100,800,2022-05-05
3176,3177,Pune,Manchar,Onion,Other,FAQ,725,2500,1450,2022-05-06
8487,8488,Pune,Pune(Manjri),Onion,Local,FAQ,800,1300,1100,2022-05-07
1316,1317,Pune,Junnar(Alephata),Onion,Other,FAQ,300,1200,600,2022-05-08
8748,8749,Pune,Pune(Pimpri),Onion,Local,FAQ,800,1200,1000,2022-05-09
4635,4636,Pune,Pune(Moshi),Onion,Local,FAQ,300,700,500,2022-05-10
10444,10445,Pune,Pune(Pimpri),Onion,Local,FAQ,700,1200,950,2022-05-11
9504,9505,Pune,Pune(Moshi),Onion,Local,FAQ,400,1000,700,2022-05-12
5470,5471,Pune,Pune(Moshi),Onion,Local,FAQ,200,900,550,2022-05-14
3219,3220,Pune,Pune,Onion,Local,FAQ,300,1100,700,2022-05-15
4458,4459,Pune,Pune(Manjri),Onion,Local,FAQ,800,1300,1100,2022-05-16
4522,4523,Pune,Pune(Manjri),Onion,Local,FAQ,700,1100,800,2022-05-17
9840,9841,Pune,Pune(Manjri),Onion,Local,FAQ,700,1100,800,2022-05-18
4765,4766,Pune,Pune,Onion,Local,FAQ,300,1200,750,2022-05-19
348,349,Pune,Junnar(Alephata),Onion,Other,FAQ,650,1150,850,2022-05-20
11559,11560,Pune,Pune(Khadiki),Onion,Local,FAQ,800,1000,900,2022-05-21
8345,8346,Pune,Pune(Khadiki),Onion,Local,FAQ,600,1000,800,2022-05-22
8654,8655,Pune,Pune,Onion,Local,FAQ,300,1250,775,2022-05-23
3973,3974,Pune,Pune(Khadiki),Onion,Local,FAQ,700,1200,950,2022-05-24
3979,3980,Pune,Pune(Khadiki),Onion,Local,FAQ,800,1100,950,2022-05-25
8663,8664,Pune,Pune,Onion,Local,FAQ,400,1300,850,2022-05-26
7535,7536,Pune,Khed(Chakan),Onion,Other,FAQ,800,1200,1000,2022-05-27
8267,8268,Pune,Pune(Pimpri),Onion,Local,FAQ,800,1200,1000,2022-05-28
4777,4778,Pune,Pune,Onion,Local,FAQ,400,1300,850,2022-05-29
9689,9690,Pune,Pune(Khadiki),Onion,Local,FAQ,700,1000,850,2022-05-30
11401,11402,Pune,Manchar,Onion,Other,FAQ,1300,1510,1405,2022-05-31
1050,1051,Pune,Manchar,Onion,Other,FAQ,600,1010,805,2023-05-01
3252,3253,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,800,2023-05-02
9838,9839,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,800,2023-05-03
11314,11315,Pune,Khed(Chakan),Onion,Other,FAQ,600,900,750,2023-05-04
3554,3555,Pune,Pune,Onion,Local,FAQ,400,1000,700,2023-05-05
7702,7703,Pune,Pune(Manjri),Onion,Local,FAQ,600,1100,800,2023-05-06
3920,3921,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1000,750,2023-05-07
5286,5287,Pune,Pune(Pimpri),Onion,Local,FAQ,700,700,700,2023-05-08
7082,7083,Pune,Pune,Onion,Local,FAQ,400,1000,700,2023-05-09
10039,10040,Pune,Pune(Pimpri),Onion,Local,FAQ,300,700,500,2023-05-10
915,916,Pune,Junnar,Onion,Other,FAQ,550,1100,950,2023-05-11
11488,11489,Pune,Pune,Onion,Local,FAQ,800,1050,975,2023-05-12
5279,5280,Pune,Pune(Pimpri),Onion,Local,FAQ,300,700,500,2023-05-13
4769,4770,Pune,Pune,Onion,Local,FAQ,400,1000,700,2023-05-14
5494,5495,Pune,Pune(Pimpri),Onion,Local,FAQ,500,700,600,2023-05-15
6425,6426,Pune,Pune,Onion,Local,FAQ,400,1000,700,2023-05-16
11789,11790,Pune,Pune(Pimpri),Onion,Local,FAQ,500,700,600,2023-05-17
8661,8662,Pune,Pune,Onion,Local,FAQ,400,1200,800,2023-05-18
8904,8905,Pune,Pune,Onion,Local,FAQ,400,1000,700,2023-05-19
4085,4086,Pune,Pune(Pimpri),Onion,Local,FAQ,600,800,700,2023-05-20
9273,9274,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1000,750,2023-05-21
824,825,Pune,Baramati,Onion,Red,FAQ,200,800,600,2023-05-22
10630,10631,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1000,750,2023-05-23
6042,6043,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1000,750,2023-05-24
189,190,Pune,Junnar,Onion,Other,FAQ,500,950,750,2023-05-25
9773,9774,Pune,Pune(Moshi),Onion,Local,FAQ,200,600,400,2023-05-26
6043,6044,Pune,Pune(Khadiki),Onion,Local,FAQ,500,1000,750,2023-05-27
5176,5177,Pune,Manchar,Onion,Other,FAQ,700,1350,1025,2023-05-28
9485,9486,Pune,Pune(Moshi),Onion,Local,FAQ,200,700,450,2023-05-29
615,616,Pune,Junnar(Alephata),Onion,Other,FAQ,500,1300,900,2023-05-30
5882,5883,Pune,Pune(Khadiki),Onion,Local,FAQ,400,900,650,2023-05-31
2131,2132,Pune,Junnar(Narayangaon),Onion,Other,FAQ,300,1400,1000,2024-05-01
9524,9525,Pune,Pune(Moshi),Onion,Local,FAQ,500,1400,950,2024-05-02
1817,1818,Pune,Junnar(Narayangaon),Onion,Other,FAQ,200,3000,1500,2024-05-03
6058,6059,Pune,Pune(Manjri),Onion,Local,FAQ,1500,1700,1600,2024-05-04
3536,3537,Pune,Manchar,Onion,Other,FAQ,1700,2650,2250,2024-05-05
8394,8395,Pune,Pune(Pimpri),Onion,Local,FAQ,1100,1300,1200,2024-05-06
2391,2392,Pune,Manchar,Onion,Other,FAQ,1500,2350,1930,2024-05-07
1271,1272,Pune,Baramati,Onion,Red,FAQ,300,2000,1400,2024-05-08
1640,1641,Pune,Junnar(Narayangaon),Onion,Other,FAQ,300,1750,1000,2024-05-09
1441,1442,Pune,Junnar(Narayangaon),Onion,Other,FAQ,300,1900,1500,2024-05-10
1440,1441,Pune,Junnar(Narayangaon),Onion,Other,FAQ,300,1700,1500,2024-05-11
5015,5016,Pune,Pune(Moshi),Onion,Local,FAQ,500,1400,950,2024-05-12
827,828,Pune,Baramati,Onion,Red,FAQ,300,1600,1100,2024-05-13
3339,3340,Pune,Pune,Onion,Local,FAQ,600,2000,1300,2024-05-14
1733,1734,Pune,Indapur,Onion,Red,FAQ,200,1500,800,2024-05-15
196,197,Pune,Junnar,Onion,Other,FAQ,700,2500,1500,2024-05-16
4454,4455,Pune,Pune(Manjri),Onion,Local,FAQ,800,1300,1000,2024-05-17
5526,5527,Pune,Pune(Pimpri),Onion,Local,FAQ,1000,1700,1350,2024-05-18
9342,9343,Pune,Pune(Manjri),Onion,Local,FAQ,1300,2000,1700,2024-05-19
11470,11471,Pune,Pune,Onion,Local,FAQ,600,2000,1300,2024-05-20
10192,10193,Pune,Pune(Moshi),Onion,Local,FAQ,500,1400,950,2024-05-21
168,169,Pune,Baramati,Onion,Red,FAQ,300,1800,1250,2024-05-22
8752,8753,Pune,Pune(Pimpri),Onion,Local,FAQ,800,1800,1300,2024-05-23
3694,3695,Pune,Pune,Onion,Local,FAQ,800,2200,1500,2024-05-24
11578,11579,Pune,Pune(Khadiki),Onion,Local,FAQ,1000,1500,1250,2024-05-25
10194,10195,Pune,Pune(Moshi),Onion,Local,FAQ,500,1400,950,2024-05-26
7354,7355,Pune,Pune(Manjri),Onion,Local,FAQ,1100,1300,1200,2024-05-27
11406,11407,Pune,Manchar,Onion,Other,FAQ,1800,2550,2185,2024-05-28
169,170,Pune,Baramati,Onion,Red,FAQ,300,2000,1400,2024-05-29
47,48,Pune,Junnar,Onion,Other,FAQ,1000,3000,2500,2024-05-30
6724,6725,Pune,Pune,Onion,Local,FAQ,900,2500,1700,2024-05-31
1,2,Pune,Baramati,Onion,Red,FAQ,200,1020,700,
