,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
908,909,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1911,2354,2151,2019-04-25
2948,2949,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2250,1930,2019-04-28
1187,1188,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2000,2431,2150,2019-04-29
786,787,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,1950,2019-05-02
700,701,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1850,2400,2000,2019-05-05
484,485,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1900,2311,2100,2019-05-06
392,393,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2021,1900,2019-05-09
2949,2950,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2300,2000,2019-05-12
949,950,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1951,2301,2100,2019-05-13
230,231,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2000,1900,2019-05-20
1568,1569,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2300,2000,2019-05-23
2489,2490,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1800,2400,2100,2019-05-26
1600,1601,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2000,1900,2019-05-27
865,866,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2000,2251,2100,2019-05-30
1802,1803,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,1960,2019-06-02
958,959,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2001,2396,2200,2019-06-03
119,120,Pune,Baramati,Wheat,Kalyan,FAQ,1851,2020,1900,2019-06-06
698,699,Pune,Indapur(Bhigwan),Wheat,Maharashtra 2189,FAQ,1800,2300,2000,2019-06-09
948,949,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1940,2212,2050,2019-06-10
1604,1605,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2000,1950,2019-06-13
620,621,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,1960,2019-06-16
11,12,Pune,Baramati,Wheat,Kalyan,FAQ,1800,2001,1950,2019-06-17
1247,1248,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2030,2371,2151,2019-06-20
283,284,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,1950,2019-06-23
1159,1160,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2000,1950,2019-06-24
866,867,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2000,2301,2161,2019-06-27
2536,2537,Pune,Shirur,Wheat,Other,FAQ,1600,1600,1600,2019-06-28
2074,2075,Pune,Shirur,Wheat,Other,FAQ,1550,1650,1550,2019-06-30
1685,1686,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2000,2151,2025,2019-07-01
121,122,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2051,2000,2019-07-04
1567,1568,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2250,1960,2019-07-07
421,422,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1950,2350,2100,2019-07-08
