Month,Predicted Price
2025-01-01,1496.8253099500175
2025-02-01,2240.2877528420754
2025-03-01,2447.5585371760035
2025-04-01,2887.483700127279
2025-05-01,3450.3300117891463
2025-06-01,3478.132408566391
2025-07-01,4063.475044294577
2025-08-01,3342.4582023675407
2025-09-01,2506.918787033779
2025-10-01,2510.105080274956
2025-11-01,1930.29659892566
2025-12-01,1740.2373633203642
2026-01-01,1862.381425931778
2026-02-01,2561.615443331333
2026-03-01,2763.2254710486036
2026-04-01,3184.249485092297
2026-05-01,3700.393727389456
2026-06-01,3788.013473515633
2026-07-01,4374.945036427453
2026-08-01,3650.4091079384866
2026-09-01,2853.4819180012014
2026-10-01,2844.6084925265636
2026-11-01,2298.738172994011
2026-12-01,2111.750583784855
